,ID,Name,BV,SV,Team,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins,7_Pts,7_xMins,8_Pts,8_xMins,9_Pts,9_xMins
479,480,Neves,5.5,5.5,Wolves,3.02,81.34,3.51,82.5,2.52,83.5,3.2,84.2,3.4,85.0,3.64,87.0,2.16,87.5,2.37,87.5,2.82,82.53
480,481,Hwang,5.7,5.7,Wolves,1.71,41.54,2.66,49.0,1.91,50.0,1.3,34.71,1.49,30.0,1.32,25.0,0.7,22.0,,0.0,0.0,19.61
481,482,Semedo,5.0,5.0,Wolves,0.0,90.0,0.7,90.0,0.6,90.0,1.83,90.0,1.97,90.0,2.03,90.0,1.34,90.0,,90.0,1.65,90.0
482,483,Podence,5.5,5.5,Wolves,3.53,65.83,4.07,62.44,2.73,58.94,2.83,52.69,1.85,40.39,1.88,35.77,1.75,46.0,1.92,46.0,2.97,52.16
483,484,Kilman,4.5,4.5,Wolves,1.74,90.0,2.98,90.0,1.53,90.0,2.97,90.0,3.31,90.0,3.34,90.0,1.4,90.0,1.49,90.0,2.49,90.0
484,485,Cundle,4.4,4.4,Wolves,2.37,66.64,3.09,71.15,2.14,69.15,1.68,56.56,1.53,47.71,,0.0,,0.0,,0.0,,0.0
485,486,Neto,5.1,5.1,Wolves,3.85,69.79,4.4,70.45,3.06,69.31,3.55,67.46,3.6,68.0,3.99,70.0,2.56,71.4,2.67,71.4,3.17,72.2
486,487,Aït-Nouri,4.3,4.3,Wolves,2.99,90.0,3.14,90.0,1.6,90.0,2.61,90.0,2.55,90.0,2.4,90.0,0.94,90.0,1.36,90.0,2.45,90.0
487,488,Fabio Silva,5.5,5.5,Wolves,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
488,489,Toti,3.9,3.9,Wolves,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
489,490,Chiquinho,5.0,5.0,Wolves,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
490,491,Adama,5.5,5.5,Wolves,0.68,28.02,0.0,13.42,0.74,28.48,1.32,28.0,1.15,24.0,1.17,23.0,,0.0,,0.0,1.09,27.0
491,492,Šarkić,4.0,4.0,Wolves,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
492,493,Gibbs-White,5.5,5.5,Nott'm Forest,,0.0,,0.0,0.65,54.06,1.32,59.97,1.93,72.85,3.82,72.0,3.39,75.0,3.84,75.0,2.64,71.41
493,494,Mosquera,3.9,3.9,Wolves,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
494,495,Matthews,4.0,4.0,Crystal Palace,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
495,496,Plange,4.5,4.5,Crystal Palace,0.21,5.88,0.12,5.0,0.15,4.0,0.07,3.0,0.08,2.0,0.03,1.0,,0.0,,0.0,,0.0
496,497,Adrián,3.9,3.9,Liverpool,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
497,498,R.Williams,4.0,4.0,Liverpool,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
498,499,Davies,4.0,4.0,Liverpool,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
499,500,Van den Berg,4.0,4.0,Liverpool,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
500,501,Phillips,4.0,4.0,Liverpool,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
501,502,Carson,3.9,3.9,Man City,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
502,503,Moutinho,4.8,4.8,Wolves,2.73,79.38,0.0,54.31,0.56,55.2,2.43,68.0,2.58,71.0,3.0,76.5,1.8,77.5,1.97,77.5,2.39,78.5
503,504,Malacia,4.5,4.5,Man Utd,3.17,90.0,1.9,90.0,1.14,90.0,2.66,90.0,2.55,90.0,2.5,90.0,2.94,90.0,0.0,90.0,1.38,90.0
504,505,Rothwell,4.9,4.9,Bournemouth,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
505,506,Adams,5.0,5.0,Leeds,1.16,39.2,0.84,35.18,1.53,60.06,2.17,56.0,1.92,68.47,1.72,72.5,2.37,74.0,0.0,74.0,2.14,74.0
506,507,Niakhaté,4.3,4.3,Nott'm Forest,1.16,90.0,2.13,90.0,0.9,90.0,0.26,90.0,0.0,90.0,0.0,90.0,,90.0,,90.0,0.85,90.0
