id,gw,xPts,xMins,Pts,f_error
29,1,3.74,54.93,2.0,1.7400000000000002
29,2,3.86,54.93,0.0,3.86
29,3,2.54,35.53,1.0,1.54
29,4,3.25,50.43,3.0,0.25
29,5,2.61,50.43,1.0,1.6099999999999999
29,6,2.46,50.43,1.0,1.46
29,8,3.42,47.19,2.0,1.42
29,9,3.37,50.69,3.0,0.3700000000000001
30,10,3.69,59.12,1.0,2.69
30,1,3.26,44.36,1.0,2.26
30,2,3.46,48.5,6.0,-2.54
30,3,3.39,66.07,1.0,2.39
30,4,3.25,52.17,2.0,1.25
30,5,2.63,52.17,1.0,1.63
30,6,2.47,52.17,0.0,2.47
30,8,4.79,71.29,1.0,3.79
30,9,3.12,42.36,1.0,2.12
31,10,4.47,87.81,2.0,2.4699999999999998
31,1,4.37,87.81,1.0,3.37
31,2,4.48,87.81,3.0,1.4800000000000004
31,3,3.98,87.81,10.0,-6.02
31,4,3.85,87.81,2.0,1.85
31,5,3.14,87.81,3.0,0.14000000000000012
31,6,2.48,87.81,3.0,-0.52
31,8,4.2,76.57,6.0,-1.7999999999999998
31,9,4.04,87.8,6.0,-1.96
32,10,2.98,11.05,0.0,2.98
32,1,2.71,12.63,0.0,2.71
32,2,2.93,6.32,1.0,1.9300000000000002
32,3,2.72,22.11,0.0,2.72
32,4,3.01,22.0,2.0,1.0099999999999998
32,5,2.25,34.11,0.0,2.25
32,6,1.88,15.16,0.0,1.88
32,8,3.09,20.26,0.0,3.09
32,9,2.81,24.63,0.0,2.81
33,10,0.0,0.0,0.0,0.0
33,1,4.06,81.02,1.0,3.0599999999999996
33,2,4.44,81.02,-1.0,5.44
33,3,3.59,81.02,1.0,2.59
33,4,3.88,82.79,2.0,1.88
33,5,2.79,82.79,1.0,1.79
33,6,2.59,82.79,1.0,1.5899999999999999
33,8,4.26,84.55,7.0,-2.74
33,9,0.0,0.0,0.0,0.0
34,10,0.0,0.0,0.0,0.0
34,1,1.76,1.05,0.0,1.76
34,2,1.8,1.05,0.0,1.8
34,3,1.6,1.05,0.0,1.6
34,4,0.0,0.0,0.0,0.0
34,5,0.0,0.0,0.0,0.0
34,6,0.0,0.0,0.0,0.0
34,8,0.0,0.0,0.0,0.0
34,9,0.0,0.0,0.0,0.0
35,10,3.02,1.84,0.0,3.02
35,1,2.97,1.84,0.0,2.97
35,2,3.14,1.84,0.0,3.14
35,3,2.78,1.84,0.0,2.78
35,4,2.7,1.84,0.0,2.7
35,5,2.18,1.84,0.0,2.18
35,6,1.82,1.84,0.0,1.82
35,8,3.38,9.95,0.0,3.38
35,9,2.67,1.84,0.0,2.67
36,10,1.51,0.26,0.0,1.51
36,1,1.77,1.58,0.0,1.77
36,2,1.82,1.58,0.0,1.82
36,3,1.64,1.58,0.0,1.64
36,4,1.74,1.58,0.0,1.74
36,5,1.55,1.58,0.0,1.55
36,6,1.34,0.26,0.0,1.34
36,8,1.57,0.26,0.0,1.57
36,9,1.51,0.26,0.0,1.51
37,10,3.22,80.4,1.0,2.22
37,1,3.37,82.14,2.0,1.37
37,2,3.5,82.14,2.0,1.5
37,3,2.95,82.14,1.0,1.9500000000000002
37,4,3.17,80.4,2.0,1.17
37,5,2.63,80.4,1.0,1.63
